[1] "Exp-Zero"             "1.520929e-04"         "7.267775e-07"        
[4] "1.353176e-04"         "1.598054e-01"         "5.976505e-01"        
[7] "SUFEX-Model2-SANN.R0"
SANN Opt
Q0=5.072e-05

Step415  Qn=1.357e-05
Step416  Qn=2.324e-05
Step417  Qn=2.097e-05
Step418  Qn=2.596e-05
Step419  Qn=2.322e-05
Step420  Qn=3.339e-05
Step421  Qn=1.768e-05
Step422  Qn=2.369e-05
Step423  Qn=4.632e-05
Step424  Qn=1.528e-05
Step425  Qn=2.250e-05
Step426  Qn=1.216e-05
Step427  Qn=1.382e-05
Step428  Qn=3.163e-05
Step429  Qn=3.877e-05
Step430  Qn=1.433e-05
Step431  Qn=1.327e-05
Step432  Qn=1.842e-05
Step433  Qn=1.089e-05
Step434  Qn=2.437e-05
Step435  Qn=1.616e-05
Step436  Qn=2.156e-05
Step437  Qn=1.323e-05
Step438  Qn=1.847e-05
Step439  Qn=3.060e-05
Step440  Qn=3.135e-05
Step441  Qn=2.169e-05
Step442  Qn=3.525e-05
Step443  Qn=1.325e-05
Step444  Qn=1.644e-05
Step445  Qn=1.392e-05
Step446  Qn=1.103e-05
Step447  Qn=1.000e-05
Step448  Qn=1.353e-05
Step449  Qn=1.380e-05
Step450  Qn=1.856e-05
Step451  Qn=1.269e-05
Step452  Qn=1.434e-05
Step453  Qn=1.877e-05
Step454  Qn=1.370e-05
Step455  Qn=6.540e-05
Step456  Qn=2.043e-05
Step457  Qn=3.985e-05
Step458  Qn=2.081e-05
Step459  Qn=1.043e-05
Step460  Qn=2.224e-05
Step461  Qn=9.717e-06
Step462  Qn=1.047e-05
Step463  Qn=3.668e-05
Step464  Qn=2.545e-05
Step465  Qn=2.061e-05
Step466  Qn=3.879e-05
Step467  Qn=9.760e-06
Step468  Qn=1.343e-05
Step469  Qn=1.921e-05
Step470  Qn=1.431e-05
Step471  Qn=2.022e-05
Step472  Qn=1.566e-05
Step473  Qn=5.544e-05
Step474  Qn=1.090e-05
Step475  Qn=1.235e-05
Step476  Qn=2.112e-05
Step477  Qn=3.792e-05
Step478  Qn=1.941e-05
Step479  Qn=3.031e-05
Step480  Qn=1.087e-05
Step481  Qn=1.724e-05
Step482  Qn=3.596e-05
Step483  Qn=2.581e-05
Step484  Qn=1.995e-05
Step485  Qn=2.676e-05
Step486  Qn=2.212e-05
Step487  Qn=3.036e-05
Step488  Qn=1.593e-05
Step489  Qn=1.130e-05
Step490  Qn=1.987e-05
Step491  Qn=1.181e-05
Step492  Qn=3.028e-05
Step493  Qn=1.577e-05
Step494  Qn=2.162e-05
Step495  Qn=2.003e-05
Step496  Qn=1.993e-05
Step497  Qn=2.019e-05
Step498  Qn=2.358e-05
Step499  Qn=1.015e-05
Step500  Qn=2.456e-05
Step501  Qn=1.449e-05
Step502  Qn=2.304e-05
Step503  Qn=3.701e-05
Step504  Qn=2.175e-05
Step505  Qn=2.862e-05
Step506  Qn=5.257e-05
Step507  Qn=1.640e-05
Step508  Qn=3.751e-05
Step509  Qn=1.853e-05
Step510  Qn=3.755e-05
Step511  Qn=1.682e-05
Step512  Qn=1.722e-05
Step513  Qn=1.041e-05
Step514  Qn=1.661e-05
Step515  Qn=1.659e-05
Step516  Qn=1.596e-05
Step517  Qn=9.917e-06
Step518  Qn=1.484e-05
Step519  Qn=1.410e-05
Step520  Qn=3.989e-05
Step521  Qn=2.593e-05
Step522  Qn=5.721e-05
Step523  Qn=3.498e-05
Step524  Qn=2.633e-05
Step525  Qn=2.747e-05
Step526  Qn=1.989e-05
Step527  Qn=1.786e-05
Step528  Qn=3.624e-05
Step529  Qn=1.669e-05
Step530  Qn=1.938e-05
Step531  Qn=3.565e-05
Step532  Qn=4.924e-05
Step533  Qn=1.848e-05
Step534  Qn=1.082e-05
Step535  Qn=1.025e-05
Step536  Qn=1.403e-05
Step537  Qn=5.166e-05
Step538  Qn=3.782e-05
Step539  Qn=1.529e-05
Step540  Qn=6.657e-05
Step541  Qn=1.990e-05
Step542  Qn=1.636e-05
Step543  Qn=1.133e-05
Step544  Qn=2.300e-05
Step545  Qn=3.490e-05
Step546  Qn=1.697e-05
Step547  Qn=2.632e-05
Step548  Qn=2.864e-05
Step549  Qn=2.321e-05
Step550  Qn=1.672e-05
Step551  Qn=2.549e-05
Step552  Qn=1.121e-05
Step553  Qn=2.016e-05
Step554  Qn=3.407e-05
Step555  Qn=3.082e-05
Step556  Qn=2.763e-05
Step557  Qn=1.580e-05
Step558  Qn=1.338e-05
Step559  Qn=3.697e-05
Step560  Qn=1.599e-05
Step561  Qn=1.653e-05
Step562  Qn=1.445e-05
Step563  Qn=3.831e-05
Step564  Qn=1.537e-05
Step565  Qn=1.453e-05
Step566  Qn=2.298e-05
Step567  Qn=1.527e-05
Step568  Qn=1.189e-05
Step569  Qn=2.385e-05
Step570  Qn=1.815e-05
Step571  Qn=1.939e-05
Step572  Qn=1.314e-05
Step573  Qn=1.660e-05
Step574  Qn=2.181e-05
Step575  Qn=3.044e-05
Step576  Qn=1.662e-05
Step577  Qn=1.372e-05
Step578  Qn=1.361e-05
Step579  Qn=1.417e-05
Step580  Qn=2.285e-05
Step581  Qn=1.645e-05
Step582  Qn=1.062e-05
Step583  Qn=2.300e-05
Step584  Qn=1.126e-05
Step585  Qn=2.354e-05
Step586  Qn=1.513e-05
Step587  Qn=9.869e-06
Step588  Qn=9.908e-06
Step589  Qn=1.906e-05
Step590  Qn=2.344e-05
Step591  Qn=1.167e-05
Step592  Qn=7.434e-05
Step593  Qn=3.262e-05
Step594  Qn=2.492e-05
Step595  Qn=2.225e-05
Step596  Qn=3.124e-05
Step597  Qn=2.311e-05
Step598  Qn=1.690e-05
Step599  Qn=9.730e-06
Step600  Qn=3.855e-05
Step601  Qn=2.185e-05
Step602  Qn=1.173e-05
Step603  Qn=2.779e-05
Step604  Qn=3.883e-05
Step605  Qn=1.921e-05
Step606  Qn=1.234e-05
Step607  Qn=1.431e-05
Step608  Qn=2.371e-05
Step609  Qn=3.922e-05
Step610  Qn=1.017e-05
Step611  Qn=1.853e-05
Step612  Qn=2.185e-05
Step613  Qn=2.969e-05
Step614  Qn=1.276e-05
Step615  Qn=1.760e-05
Step616  Qn=3.387e-05
Step617  Qn=3.435e-05
Step618  Qn=2.240e-05
Step619  Qn=2.397e-05
Step620  Qn=2.366e-05
Step621  Qn=1.178e-05
Step622  Qn=2.330e-05
Step623  Qn=2.075e-05
Step624  Qn=2.434e-05
Step625  Qn=1.976e-05
Step626  Qn=1.291e-05
Step627  Qn=2.253e-05
Step628  Qn=2.556e-05
Step629  Qn=1.578e-05
Step630  Qn=1.206e-05
Step631  Qn=1.111e-05
Step632  Qn=2.484e-05
Step633  Qn=2.165e-05
Step634  Qn=1.542e-05
Step635  Qn=2.107e-05
Step636  Qn=1.377e-05
Step637  Qn=1.522e-05
Step638  Qn=1.532e-05
Step639  Qn=1.860e-05
Step640  Qn=2.174e-05
Step641  Qn=1.428e-05
Step642  Qn=4.467e-05
Step643  Qn=1.395e-05
Step644  Qn=2.089e-05
Step645  Qn=3.932e-05
Step646  Qn=1.468e-05
Step647  Qn=4.639e-05
Step648  Qn=1.266e-05
Step649  Qn=1.420e-05
Step650  Qn=1.124e-05
Step651  Qn=1.664e-05
Step652  Qn=1.005e-05
Step653  Qn=3.528e-05
Step654  Qn=2.964e-05
Step655  Qn=2.181e-05
Step656  Qn=1.332e-05
Step657  Qn=9.550e-06
Step658  Qn=1.637e-05
Step659  Qn=2.154e-05
Step660  Qn=2.739e-05
