Summary
Name,"DCM-T15-10-5-20.rslt"
Start time,2020 окт 05 - 12:24
End time,2020 окт 05 - 16:53
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\DCM-T15-10-5-20.rslt"
General Experiment Info
Bath temperature,15°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"DCM-T15","DCM-T15","DCM-T15"
,Component - DCM,Component - DCM,Component - DCM
Mass,800mg,800mg,800mg
Name,"DCM","DCM","DCM"
Physical shape,"Liquid","Liquid","Liquid"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Room Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers","Comments"
8697.90783286095,14.9999996258203,1.9468408735463E-05,0.00104243375348537,2.43355109193287E-05,0.00130304219185672,25.9074427701738,15.0004341544418,15.0002317491394,"",""
8699.2543990612,14.9999997629531,1.94677794738777E-05,0.0010686485005237,2.43347243423471E-05,0.00133581062565462,25.9096090434563,15.0004341622964,15.0002318704583,"",""
8700.60096526146,14.9999997250066,1.94671277616767E-05,0.00109486303275694,2.43339097020959E-05,0.00136857879094617,25.9132618783647,15.0004341880609,15.0002320048037,"",""
8701.94753146172,14.9999996862337,1.94662920697498E-05,0.0011210758046919,2.43328650871872E-05,0.00140134475586487,25.9169382547414,15.0004342511043,15.0002321662634,"",""
8703.29409766197,14.9999996393881,1.9465448672681E-05,0.00114728832675404,2.43318108408512E-05,0.00143411040844255,25.9215113123375,15.0004343183203,15.0002323309322,"",""
8704.64066386223,14.9999995364738,1.9464540479504E-05,0.00117349874751986,2.433067559938E-05,0.00146687343439982,25.926099281202,15.0004343942216,15.0002325022807,"",""
8705.98723006248,14.9999988752326,1.94635921899631E-05,0.00119970886003984,2.43294902374539E-05,0.0014996360750498,25.9306944987662,15.0004344826623,15.0002326885181,"",""
8707.33379626274,14.9999982996271,1.94622976949352E-05,0.00122591631106157,2.4327872118669E-05,0.00153239538882696,25.9352898426307,15.0004345972033,15.0002329057461,"",""
8708.680362463,14.9999985937356,1.94609699791059E-05,0.00125212336364658,2.43262124738824E-05,0.00156515420455822,25.9398855282326,15.0004347023829,15.0002331122144,"",""
8710.02692866325,14.9999988692413,1.94593475880137E-05,0.00127832688201684,2.43241844850171E-05,0.00159790860252105,25.9444812200608,15.0004347880774,15.0002332962869,"",""
8711.37349486351,14.9999989519981,1.94576789141636E-05,0.00130452990561184,2.43220986427045E-05,0.00163066238201479,25.9491491956236,15.0004348589845,15.0002334680428,"",""
8712.72006106377,14.9999990677422,1.94555882383284E-05,0.00133072841789084,2.43194852979105E-05,0.00166341052236355,25.9538185457684,15.0004348991125,15.0002336141624,"",""
8714.06662726402,14.999999532309,1.94534204800491E-05,0.00135692628305221,2.43167756000614E-05,0.00169615785381526,25.9585847841424,15.0004349124745,15.0002337344505,"",""
8715.41319346428,14.999999963468,1.94505298142236E-05,0.00138311807930605,2.43131622677795E-05,0.00172889759913256,25.9633529423242,15.0004348701241,15.0002338009712,"",""
8716.75975966454,15.0000000339693,1.94475464068361E-05,0.00140930901881296,2.43094330085451E-05,0.0017616362735162,25.9681245734196,15.000434804944,15.0002338442383,"",""
8718.10632586479,15.000000152492,1.944366780306E-05,0.00143549168849199,2.4304584753825E-05,0.00179436461061499,25.9728962761059,15.0004346922449,15.000233839104,"",""
8719.45289206505,15.0000008004766,1.94397580857254E-05,0.00146167336038124,2.42996976071568E-05,0.00182709170047656,25.9776679844555,15.000434566245,15.0002338177777,"",""
8720.7994582653,15.0000013755236,1.94355390461025E-05,0.00148784511252382,2.42944238076281E-05,0.00185980639065478,25.9824396929264,15.0004344125599,15.0002337627486,"",""
