Summary
Name,"DCM-T15-9-30-20.rslt"
Start time,2020 сен 30 - 15:40
End time,2020 окт 02 - 19:09
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\DCM-T15-9-30-20.rslt"
General Experiment Info
Bath temperature,15°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"DCM-T15","DCM-T15","DCM-T15"
,Component - DCM,Component - DCM,Component - DCM
Mass,800mg,800mg,800mg
Name,"DCM","DCM","DCM"
Physical shape,"Liquid","Liquid","Liquid"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","PCB Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
53784.3955304623,15.0000000326115,1.06156280634706E-05,0.941655639331467,1.32695350793382E-05,1.17706954916433,56.5451459339796,15.0001230712766,14.999993902004,""
53799.8418998718,15.0000000103655,1.06089965600923E-05,0.941819592297044,1.32612457001154E-05,1.17727449037131,56.5452295719206,15.0001251015062,14.9999959661142,""
53815.2863998413,14.9999999170056,1.06036181654535E-05,0.941983379815425,1.32545227068169E-05,1.17747922476928,56.545302011638,15.0001246828944,14.999995584725,""
53830.7327694893,14.9999998109673,1.05985419933409E-05,0.942147151946776,1.32481774916762E-05,1.17768393993347,56.5453675741027,15.0001242642319,14.9999952032897,""
53846.1772694588,14.9999998158719,1.05945443829893E-05,0.942310794654858,1.32431804787366E-05,1.17788849331857,56.5453833628333,15.0001269218118,14.999997892697,""
53861.6236391068,14.9999998405483,1.05908071148548E-05,0.942474430653811,1.32385088935685E-05,1.17809303831726,56.5453685394766,15.0001295797134,15.00000058243,""
53877.0681390762,15.000000013951,1.05874196395978E-05,0.942637959300311,1.32342745494972E-05,1.17829744912539,56.5453873891597,15.0001329387158,15.000003975889,""
53892.5145084858,15.0000002139004,1.05841163221445E-05,0.942801486547854,1.32301454026806E-05,1.17850185818482,56.545426943743,15.0001362981248,15.0000073697588,""
53907.9590084553,15.0000000210473,1.05795065723949E-05,0.942964891676686,1.32243832154937E-05,1.17870611459586,56.5454506859444,15.0001421787069,15.0000132815196,""
53923.4053781033,14.9999997580739,1.05745797610082E-05,0.943128291804182,1.32182247012603E-05,1.17891036475523,56.5454647167775,15.000148060001,15.0000191939961,""
53938.8498780727,14.9999997356962,1.05765867797062E-05,0.943291656742368,1.32207334746327E-05,1.17911457092796,56.5454099402523,15.0001507921669,15.0000219303021,""
53954.2962477207,14.9999997562757,1.05802739945749E-05,0.943455037723056,1.32253424932187E-05,1.17931879715382,56.5453128956558,15.0001535246635,15.0000246669395,""
