[1] "Exp-Zero"        "9.697245e-05"    "4.877849e-06"    "1.761698e-04"   
[5] "2.487360e-01"    "5.653460e-01"    "SUFEX-Model2.R0"
Nelder-Mead Opt
pQ0=4.578e+00
Step310  Qn=1.335e-05  pQn=4.874404  pQmin=5.044811
Step311  Qn=1.356e-05  pQn=4.867616  pQmin=5.044811
Step312  Qn=1.572e-05  pQn=4.803673  pQmin=5.044811
Step313  Qn=9.686e-06  pQn=5.013842  pQmin=5.044811
Step314  Qn=9.436e-06  pQn=5.025226  pQmin=5.044811
Step315  Qn=1.052e-05  pQn=4.978164  pQmin=5.044811
Step316  Qn=9.498e-06  pQn=5.022374  pQmin=5.044811
Step317  Qn=4.040e-05  pQn=4.393576  pQmin=5.044811
Step318  Qn=1.027e-05  pQn=4.988455  pQmin=5.044811
Step319  Qn=1.101e-05  pQn=4.958211  pQmin=5.044811
Step320  Qn=1.283e-05  pQn=4.891728  pQmin=5.044811
Step321  Qn=1.227e-05  pQn=4.911149  pQmin=5.044811
Step322  Qn=1.376e-05  pQn=4.861495  pQmin=5.044811
Step323  Qn=1.513e-05  pQn=4.820181  pQmin=5.044811
Step324  Qn=1.018e-05  pQn=4.992194  pQmin=5.044811
Step325  Qn=1.765e-05  pQn=4.753374  pQmin=5.044811
Step326  Qn=1.070e-05  pQn=4.970517  pQmin=5.044811
Step327  Qn=1.970e-05  pQn=4.705497  pQmin=5.044811
Step328  Qn=1.519e-05  pQn=4.818476  pQmin=5.044811
Step329  Qn=1.457e-05  pQn=4.836591  pQmin=5.044811
Step330  Qn=9.274e-06  pQn=5.032727  pQmin=5.044811
Step331  Qn=9.225e-06  pQn=5.035019  pQmin=5.044811
Step332  Qn=9.438e-06  pQn=5.025109  pQmin=5.044811
Step333  Qn=1.044e-05  pQn=4.981220  pQmin=5.044811
Step334  Qn=1.592e-05  pQn=4.798060  pQmin=5.044811
Step335  Qn=1.518e-05  pQn=4.818816  pQmin=5.044811
Step336  Qn=1.523e-05  pQn=4.817360  pQmin=5.044811
Step337  Qn=1.203e-05  pQn=4.919785  pQmin=5.044811
Step338  Qn=1.809e-05  pQn=4.742574  pQmin=5.044811
Step339  Qn=1.003e-05  pQn=4.998862  pQmin=5.044811
Step340  Qn=1.144e-05  pQn=4.941481  pQmin=5.044811
Step341  Qn=2.006e-05  pQn=4.697731  pQmin=5.044811
Step342  Qn=1.192e-05  pQn=4.923731  pQmin=5.044811
Step343  Qn=1.596e-05  pQn=4.797029  pQmin=5.044811
Step344  Qn=1.365e-05  pQn=4.864822  pQmin=5.044811
Step345  Qn=1.902e-05  pQn=4.720894  pQmin=5.044811
Step346  Qn=1.566e-05  pQn=4.805251  pQmin=5.044811
Step347  Qn=1.298e-05  pQn=4.886759  pQmin=5.044811
Step348  Qn=1.945e-05  pQn=4.711132  pQmin=5.044811
Step349  Qn=9.842e-06  pQn=5.006916  pQmin=5.044811
Step350  Qn=1.684e-05  pQn=4.773666  pQmin=5.044811
Step351  Qn=9.083e-06  pQn=5.041783  pQmin=5.044811
Step352  Qn=1.188e-05  pQn=4.925206  pQmin=5.044811
Step353  Qn=1.216e-05  pQn=4.915099  pQmin=5.044811
Step354  Qn=4.397e-05  pQn=4.356877  pQmin=5.044811
Step355  Qn=1.196e-05  pQn=4.922244  pQmin=5.044811
Step356  Qn=1.447e-05  pQn=4.839538  pQmin=5.044811
Step357  Qn=1.386e-05  pQn=4.858337  pQmin=5.044811
Step358  Qn=1.552e-05  pQn=4.809225  pQmin=5.044811
Step359  Qn=1.080e-05  pQn=4.966423  pQmin=5.044811
Step360  Qn=9.539e-06  pQn=5.020482  pQmin=5.044811
Step361  Qn=1.226e-05  pQn=4.911451  pQmin=5.044811
Step362  Qn=1.004e-05  pQn=4.998164  pQmin=5.044811
Step363  Qn=2.770e-05  pQn=4.557577  pQmin=5.044811
Step364  Qn=1.758e-05  pQn=4.755031  pQmin=5.044811
Step365  Qn=9.652e-06  pQn=5.015397  pQmin=5.044811
Step366  Qn=1.126e-05  pQn=4.948428  pQmin=5.044811
Step367  Qn=1.585e-05  pQn=4.799937  pQmin=5.044811
Step368  Qn=1.564e-05  pQn=4.805722  pQmin=5.044811
Step369  Qn=1.606e-05  pQn=4.794248  pQmin=5.044811
Step370  Qn=9.142e-06  pQn=5.038971  pQmin=5.044811
Step371  Qn=1.254e-05  pQn=4.901730  pQmin=5.044811
Step372  Qn=3.654e-05  pQn=4.437182  pQmin=5.044811
